method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG092,EBC-160036,6,1,210,162,42,0,3,0,0,3,0
AD,congo,OPG092,EBC-186029,49,1,223,156,60,0,3,3,1,0,0
AD,congo,OPG092,EBC-191032,75,1,229,168,45,0,6,1,2,7,0
AD,congo,OPG092,EBC-216028,47,1,222,166,43,0,7,3,3,0,0
AD,congo,OPG092,EBC-217022,13,1,200,131,51,0,8,0,1,9,0
AD,congo,OPG092,EBC-218034,30,1,211,170,32,0,6,1,2,0,0
AD,congo,OPG092,EBC-218037,35,1,182,123,51,0,2,3,3,0,0
AD,congo,OPG092,EBC-218043,3,1,259,179,59,0,8,4,9,0,0
AD,congo,OPG092,EBC-23629,22,1,210,172,30,0,4,4,0,0,0
AD,congo,OPG092,EBC-251155,74,1,191,124,52,0,10,1,2,2,0
AD,congo,OPG092,EBC-251173,33,1,252,178,57,0,9,3,5,0,0
AD,congo,OPG092,EBC-252122,23,1,208,150,44,0,4,1,2,7,0
AD,congo,OPG092,EBC-253291,43,1,232,180,43,0,2,6,1,0,0
AD,congo,OPG092,EBC-27030,69,1,202,106,80,0,6,0,4,6,0
AD,congo,OPG092,EBC-27122,28,1,202,90,92,0,2,3,3,12,0
AD,congo,OPG092,EBC-27265,1,1,77,64,8,0,0,4,0,1,0
AD,congo,OPG092,EBC-27345,29,1,164,127,24,0,0,0,3,10,0
AD,congo,OPG092,EBC-27428,58,1,236,164,69,0,2,0,1,0,0
AD,congo,OPG092,EBC-286055,8,1,221,152,60,0,3,3,3,0,0
AD,congo,OPG092,EBC-287070,9,1,272,223,44,0,2,1,2,0,0
AD,congo,OPG092,EBC-289112,11,1,217,187,25,0,1,1,3,0,0
AD,congo,OPG092,EBC-290041,44,1,327,127,160,0,28,4,1,7,0
AD,congo,OPG092,EBC-291049,90,1,194,147,33,0,7,1,0,6,0
AD,congo,OPG092,EBC-291117,57,1,234,207,23,0,4,0,0,0,0
AD,congo,OPG092,EBC-291176,38,1,218,190,21,0,1,2,4,0,0
AD,congo,OPG092,EBC-303070,31,1,213,176,28,0,3,6,0,0,0
AD,congo,OPG092,EBC-339118,34,1,232,135,89,0,4,2,2,0,0
AD,congo,OPG092,EBC-352046,70,1,253,199,43,0,8,2,1,0,0
AD,congo,OPG092,EBC-373080,15,1,245,187,48,0,9,0,0,1,0
AD,congo,OPG092,EBC-43021,99,1,219,145,66,0,4,3,1,0,0
