strain,protein,EBC_ID,AD_best_rank,AF_best_rank,AD_n_halogen_bond,AF_n_halogen_bond,AD_n_hbond,AF_n_hbond,AD_n_hydrophobic,AF_n_hydrophobic,AD_n_metal_complex,AF_n_metal_complex,AD_n_pi_cation,AF_n_pi_cation,AD_n_pi_stack,AF_n_pi_stack,AD_n_salt_bridge,AF_n_salt_bridge,AD_n_water_bridge,AF_n_water_bridge,AD_total_interactions,AF_total_interactions,AD_minus_AF_total_interactions,AD_minus_AF_n_hydrophobic,AD_minus_AF_n_hbond,AD_minus_AF_n_water_bridge,AD_minus_AF_n_salt_bridge,AD_minus_AF_n_pi_stack,AD_minus_AF_n_pi_cation,AD_minus_AF_n_halogen_bond,AD_minus_AF_n_metal_complex
congo,OPG092,EBC-291049,90.0,,6.0,,33.0,,147.0,,0.0,,0.0,,1.0,,7.0,,0.0,,194.0,,194.0,147.0,33.0,0.0,7.0,1.0,0.0,6.0,0.0
congo,OPG092,EBC-291117,57.0,,0.0,,23.0,,207.0,,0.0,,0.0,,0.0,,4.0,,0.0,,234.0,,234.0,207.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-291176,38.0,,0.0,,21.0,,190.0,,0.0,,4.0,,2.0,,1.0,,0.0,,218.0,,218.0,190.0,21.0,0.0,1.0,2.0,4.0,0.0,0.0
congo,OPG092,EBC-303070,31.0,,0.0,,28.0,,176.0,,0.0,,0.0,,6.0,,3.0,,0.0,,213.0,,213.0,176.0,28.0,0.0,3.0,6.0,0.0,0.0,0.0
congo,OPG092,EBC-303226,,93.0,,0.0,,2.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,-6.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-339118,34.0,,0.0,,89.0,,135.0,,0.0,,2.0,,2.0,,4.0,,0.0,,232.0,,232.0,135.0,89.0,0.0,4.0,2.0,2.0,0.0,0.0
congo,OPG092,EBC-352046,70.0,,0.0,,43.0,,199.0,,0.0,,1.0,,2.0,,8.0,,0.0,,253.0,,253.0,199.0,43.0,0.0,8.0,2.0,1.0,0.0,0.0
congo,OPG092,EBC-373080,15.0,,1.0,,48.0,,187.0,,0.0,,0.0,,0.0,,9.0,,0.0,,245.0,,245.0,187.0,48.0,0.0,9.0,0.0,0.0,1.0,0.0
congo,OPG092,EBC-43021,99.0,,0.0,,66.0,,145.0,,0.0,,1.0,,3.0,,4.0,,0.0,,219.0,,219.0,145.0,66.0,0.0,4.0,3.0,1.0,0.0,0.0
congo,OPG092,EBC-44111,,49.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-44165,83.0,,0.0,,67.0,,108.0,,0.0,,2.0,,5.0,,3.0,,0.0,,185.0,,185.0,108.0,67.0,0.0,3.0,5.0,2.0,0.0,0.0
congo,OPG092,EBC-44358,71.0,,5.0,,67.0,,106.0,,0.0,,3.0,,0.0,,8.0,,0.0,,189.0,,189.0,106.0,67.0,0.0,8.0,0.0,3.0,5.0,0.0
congo,OPG092,EBC-44365,66.0,,2.0,,43.0,,179.0,,0.0,,1.0,,1.0,,15.0,,0.0,,241.0,,241.0,179.0,43.0,0.0,15.0,1.0,1.0,2.0,0.0
congo,OPG092,EBC-44384,,61.0,,0.0,,1.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-44449,55.0,,11.0,,36.0,,139.0,,0.0,,0.0,,1.0,,3.0,,0.0,,190.0,,190.0,139.0,36.0,0.0,3.0,1.0,0.0,11.0,0.0
congo,OPG092,EBC-46024,63.0,,2.0,,71.0,,129.0,,0.0,,0.0,,1.0,,3.0,,0.0,,206.0,,206.0,129.0,71.0,0.0,3.0,1.0,0.0,2.0,0.0
congo,OPG092,EBC-46057,24.0,,0.0,,61.0,,208.0,,0.0,,1.0,,4.0,,1.0,,0.0,,275.0,,275.0,208.0,61.0,0.0,1.0,4.0,1.0,0.0,0.0
congo,OPG092,EBC-46286,,14.0,,0.0,,4.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.0,-7.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-46294,5.0,,1.0,,127.0,,154.0,,0.0,,5.0,,1.0,,15.0,,0.0,,303.0,,303.0,154.0,127.0,0.0,15.0,1.0,5.0,1.0,0.0
congo,OPG092,EBC-47024,37.0,,0.0,,114.0,,125.0,,0.0,,1.0,,2.0,,4.0,,0.0,,246.0,,246.0,125.0,114.0,0.0,4.0,2.0,1.0,0.0,0.0
